Prénom,Nom,Adresse,Téléphone,Numéro d'étudiant,Adresse courriel,Mot de passe,Code permanent,Sexe,Date de naissance,Session d'études,Profil de formation de l'étudiant,Sigle du cours,Titre du cours,Note finale du cours,Nom du programme,Numéro du programme,Profil de formation du programme
Beatrice,Gagné,"1780, Boulevard Tessier, Laval, Qc, H7S 1W2",438-640-9860,21473659,gagne.beatrice@univ.teluq.ca,GAGB21473659,GAGB20068403,Feminin,20-06-1984,Hiver 2020,Administration,ADM 1002,Initiation à la gestion,A,Programme court d'inititation aux fondements de la gestion,477,Inititation aux fondements de la gestion 
Beatrice,Gagné,"1780, Boulevard Tessier, Laval, Qc, H7S 1W2",438-640-9860,21473659,gagne.beatrice@univ.teluq.ca,GAGB21473659,GAGB20068403,Feminin,20-06-1984,Hiver 2020,Administration,ADM 1450,Initiation à la gestion de projets,B,Programme court d'inititation aux fondements de la gestion,477,Inititation aux fondements de la gestion 
Beatrice,Gagné,"1780, Boulevard Tessier, Laval, Qc, H7S 1W2",438-640-9860,21473659,gagne.beatrice@univ.teluq.ca,GAGB21473659,GAGB20068403,Feminin,20-06-1984,Hiver 2020,Administration,ADM2006,Les systèmes d'information de gestion,B,Programme court d'inititation aux fondements de la gestion,477,Inititation aux fondements de la gestion 
Beatrice,Gagné,"1780, Boulevard Tessier, Laval, Qc, H7S 1W2",438-640-9860,21473659,gagne.beatrice@univ.teluq.ca,GAGB21473659,GAGB20068403,Feminin,20-06-1984,Hiver 2020,Administration,ADM 2007,Introduction au marketing,A,Programme court d'inititation aux fondements de la gestion,477,Inititation aux fondements de la gestion 
Émilie,Coté,"150, Boulevard Bellerose, Laval, Qc, H7K 1S7",438-839-9042,45274869,cote.emilie@univ.teluq.ca,COTE45274869,COTE17049204,Feminin,17-04-1992,Été 2020,Communication,RPL 2003,Introduction aux relations publiques,A,Programme court en communication appliquée aux relations publiques,225,Communication appliquée aux relations publiques
Émilie,Coté,"150, Boulevard Bellerose, Laval, Qc, H7K 1S7",438-839-9042,45274869,cote.emilie@univ.teluq.ca,COTE45274869,COTE17049204,Feminin,17-04-1992,Été 2020,Communication,RPL 2004,Le plan de communication,B,Programme court en communication appliquée aux relations publiques,225,Communication appliquée aux relations publiques
Émilie,Coté,"150, Boulevard Bellerose, Laval, Qc, H7K 1S7",438-839-9042,45274869,cote.emilie@univ.teluq.ca,COTE45274869,COTE17049204,Feminin,17-04-1992,Été 2020,Communication,RPL 2005,Théories et modèles de pratique en relations publiques,A,Programme court en communication appliquée aux relations publiques,225,Communication appliquée aux relations publiques
Émilie,Coté,"150, Boulevard Bellerose, Laval, Qc, H7K 1S7",438-839-9042,45274869,cote.emilie@univ.teluq.ca,COTE45274869,COTE17049204,Feminin,17-04-1992,Été 2020,Communication,RPL 2006,Relations publiques et gestion de crise,B,Programme court en communication appliquée aux relations publiques,225,Communication appliquée aux relations publiques
Thomas,Pelletier,"2020, Rue Sauvé Est, Montréal, Québec, H2B 4P8",514-664-2958,35174858,pelletier.thomas@univ.teluq.ca,PELT35174858,PELT07098906,Masculin,7/9/1989,Hiver 2021,Finance,ADM 1700,Principes de l'assurance de personnes,A,Certificat en planification financière (cheminement général),4731,Planification financière (cheminement général)
Thomas,Pelletier,"2020, Rue Sauvé Est, Montréal, Québec, H2B 4P8",514-664-2958,35174858,pelletier.thomas@univ.teluq.ca,PELT35174858,PELT07098906,Masculin,7/9/1989,Hiver 2021,Finance,ADM 7030,Activité d'intégration en planification financière,A,Certificat en planification financière (cheminement général),4731,Planification financière (cheminement général)
