e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_ProfilDeFormationÉtudiant,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours,e_ProfilDeFormationDuProgramme
Alice,Fortin,56372943,FORA06039301,Sciences,"Été 2021","SCI 1230","Travail scientifique et technologies de l'information",B,"Science et technologie"
Alice,Fortin,56372943,FORA06039301,Sciences,"Été 2021","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",C,"Science et technologie"
Alice,Fortin,56372943,FORA06039301,Sciences,"Été 2021","ENV 1101","Introduction à la gestion des ressources naturelles",A,"Science et technologie"
Alice,Fortin,56372943,FORA06039301,Sciences,"Été 2021","ENV 2010","Gestion des ressources: faune et habitat",B,"Science et technologie"
Tyler,Perreault,18465873,PERT28068719,Sciences,"Automne 2021","ENV 3013",Écotoxicologie,B,"Science et technologie"
Tyler,Perreault,18465873,PERT28068719,Sciences,"Automne 2021","ENV 3017","Santé et environnement",A,"Science et technologie"
Tyler,Perreault,18465873,PERT28068719,Sciences,"Automne 2021","INF 1250","Introduction aux bases de données",A,"Science et technologie"
Tyler,Perreault,18465873,PERT28068719,Sciences,"Automne 2021","INF 1425","Algorithmique et structures de données",B,"Science et technologie"
Olivie,Marois,70659352,MARO02029006,Sciences,"Automne 2021","ENV 3026","Administration (économie) et gestion du développement durable",B,"Science et technologie"
Olivie,Marois,70659352,MARO02029006,Sciences,"Automne 2021","ENV 4016","Améganement du territoire et environnement",C,"Science et technologie"
Olivie,Marois,70659352,MARO02029006,Sciences,"Automne 2021","SCI 1016","Introduction à la science des données",B,"Science et technologie"
Olivie,Marois,70659352,MARO02029006,Sciences,"Automne 2021","INF 1220","Introduction à la programmation",Abandon,"Science et technologie"
Marie,Goudreau,40356972,GOUM27039405,Sciences,"Automne 2022","SCI 1230","Travail scientifique et technologies de l'information",A,"Science et technologie"
Marie,Goudreau,40356972,GOUM27039405,Sciences,"Automne 2022","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",A,"Science et technologie"
Marie,Goudreau,40356972,GOUM27039405,Sciences,"Automne 2022","ENV 1101","Introduction à la gestion des ressources naturelles",B,"Science et technologie"
Marie,Goudreau,40356972,GOUM27039405,Sciences,"Automne 2022","ENV 2010","Gestion des ressources: faune et habitat",B,"Science et technologie"
Adèle,Dubois,57380578,DUBA20098618,Sciences,"Été 2022","ENV 1110","Changements climatiques",B,"Science et technologie"
Adèle,Dubois,57380578,DUBA20098618,Sciences,"Été 2022","ENV 3026","Administration (économie) et gestion du développement durable",C,"Science et technologie"
Adèle,Dubois,57380578,DUBA20098618,Sciences,"Été 2022","ENV 4016","Améganement du territoire et environnement",C,"Science et technologie"
Adèle,Dubois,57380578,DUBA20098618,Sciences,"Été 2022","INF 1250","Introduction aux bases de données",A,"Science et technologie"
Charlie,Poirier,46583920,POIC16048821,Sciences,"Été 2022","INF 2005","Programmation orientée objet avec C++",C,"Science et technologie"
Charlie,Poirier,46583920,POIC16048821,Sciences,"Été 2022","INF 1165","Réseaux et sécurité informatique",B,"Science et technologie"
Charlie,Poirier,46583920,POIC16048821,Sciences,"Été 2022","INF 6400","Gestion de connaissances et informatique",B,"Science et technologie"
Charlie,Poirier,46583920,POIC16048821,Sciences,"Été 2022","INF 6450","Gestion de l'information avec XML",C,"Science et technologie"
Catherine,Lemaire,17453870,LEMC25068729,Sciences,"Été 2022","SCI 1230","Travail scientifique et technologies de l'information",B,"Science et technologie"
Catherine,Lemaire,17453870,LEMC25068729,Sciences,"Été 2022","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",A,"Science et technologie"
Catherine,Lemaire,17453870,LEMC25068729,Sciences,"Été 2022","SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance",A,"Science et technologie"
Catherine,Lemaire,17453870,LEMC25068729,Sciences,"Été 2022","ENV 1101","Introduction à la gestion des ressources naturelles",A,"Science et technologie"
Denise,Marcharnd,19453967,MARD31108347,Sciences,"Automne 2022","HIS 1075","Histoire des sciences au Québec",B,"Science et technologie"
Denise,Marcharnd,19453967,MARD31108347,Sciences,"Automne 2022","SCI 1021","Sciences, techniques et civilisations: de l'Antiquité à la Rennaissance",C,"Science et technologie"
Denise,Marcharnd,19453967,MARD31108347,Sciences,"Automne 2022","ENV 2010","Gestion des ressources: faune et habitat",A,"Science et technologie"
Denise,Marcharnd,19453967,MARD31108347,Sciences,"Automne 2022","ENV 3111","Gestion environnementale des ressources forestières",B,"Science et technologie"
Georges,Lamy,90253746,LAMG11942247,Sciences,"Automne 2020","ENV 2010","Gestion des ressources: faune et habitat",B,"Science et technologie"
