e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours
Charlotte,Lavoie,39563852,LAVC26069203,"Automne 2020","SCI 1016","Introduction à la science des données",A
Charlotte,Lavoie,39563852,LAVC26069203,"Automne 2020","SCI 1018","Statistiques avec R",Abandon
Charlotte,Lavoie,39563852,LAVC26069203,"Automne 2020","SCI 1402","Projet e science des données",A
Charlotte,Lavoie,39563852,LAVC26069203,"Automne 2020","INF 1220","Introduction à la programmation",B
Léa,Bergeron,72940563,BERL11098813,"Été 2021","INF 1220","Introduction à la programmation",A
Léa,Bergeron,72940563,BERL11098813,"Été 2021","INF 1250","Introduction aux bases de données",A
Léa,Bergeron,72940563,BERL11098813,"Été 2021","INF 1425","Algorithmique et structures de données",B
Léa,Bergeron,72940563,BERL11098813,"Été 2021","INF 1427","Architecture des ordinateurs",C
Nathan,Deschênes,92547350,DESN14128304,"Hiver 2020","ADM 6050","Analytique d'affaires",A
Nathan,Deschênes,92547350,DESN14128304,"Hiver 2020","ENV 6008","Modélisation et systèmes d'aide à la décision en environnement",B
Nathan,Deschênes,92547350,DESN14128304,"Hiver 2020","INF 6104","Recherche d'informations et web",C
Nathan,Deschênes,92547350,DESN14128304,"Hiver 2020","INF 6408","Informatique de l'analyse multidimensionnelle",C
Sara,Gendron,47634970,GENS22108608,"Été 2020","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",B
Sara,Gendron,47634970,GENS22108608,"Été 2020","INF 6065","Sécurité des réseaux et des systèmes informatiques",C
Sara,Gendron,47634970,GENS22108608,"Été 2020","INF 6070","Technologies sémantiques pour la gestion des connaissances",A
Sara,Gendron,47634970,GENS22108608,"Été 2020","INF 6107","Web social",B
Annie,Lafrance,50346858,LAFA22069115,"Hiver 2020","SCI 1018","Statistiques avec R",C
Annie,Lafrance,50346858,LAFA22069115,"Hiver 2020","INF 1165","Réseaux et sécurité informatique",C
Annie,Lafrance,50346858,LAFA22069115,"Hiver 2020","INF 1427","Architecture des ordinateurs",A
Annie,Lafrance,50346858,LAFA22069115,"Hiver 2020","ADM 2006","Les systèmes d'information de gestion",B
Benjamin,Morin,18364859,MORB04028918,"Hiver 2022","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",C
Benjamin,Morin,18364859,MORB04028918,"Hiver 2022","INF 6065","Sécurité des réseaux et des systèmes informatiques",A
Benjamin,Morin,18364859,MORB04028918,"Hiver 2022","INF 6070","Technologies sémantiques pour la gestion des connaissances",B
Benjamin,Morin,18364859,MORB04028918,"Hiver 2022","INF 6107","Web social",C
Fabrice,Gauthier,10243758,GAUF26018259,"Hiver 2020","INF 1250","Introduction aux bases de données",B
Fabrice,Gauthier,10243758,GAUF26018259,"Hiver 2020","INF 1410","Génie logiciel",A
Fabrice,Gauthier,10243758,GAUF26018259,"Hiver 2020","INF 1420","Interfaces humain-machine",C
Fabrice,Gauthier,10243758,GAUF26018259,"Hiver 2020","INF 6450","Gestion de l'information avec XML",B
Elsa,Riviere,19835476,RIVE19039061,"Hiver 2021","INF 1165","Réseaux et sécurité informatique",A
Elsa,Riviere,19835476,RIVE19039061,"Hiver 2021","ADM 2006","Les systèmes d'information de gestion",B
Elsa,Riviere,19835476,RIVE19039061,"Hiver 2021","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",A
Elsa,Riviere,19835476,RIVE19039061,"Hiver 2021","MQT 2420","Récherche opérationnelle",A
Isabella,Weber,37460596,WEBI18089283,"Été 2020","SCI 1018","Statistiques avec R",B
Isabella,Weber,37460596,WEBI18089283,"Été 2020","SCI 1402","Projet e science des données",C
Isabella,Weber,37460596,WEBI18089283,"Été 2020","INF 1220","Introduction à la programmation",A
Isabella,Weber,37460596,WEBI18089283,"Été 2020","INF 1250","Introduction aux bases de données",A
Lucile,"Le Roux",81547359,LERL09018858,"Automne 2022","ADM 6050","Analytique d'affaires",A
Lucile,"Le Roux",81547359,LERL09018858,"Automne 2022","ENV 6008","Modélisation et systèmes d'aide à la décision en environnement",B
Lucile,"Le Roux",81547359,LERL09018858,"Automne 2022","INF 6104","Recherche d'informations et web",A
Lucile,"Le Roux",81547359,LERL09018858,"Automne 2022","INF 6408","Informatique de l'analyse multidimensionnelle",A
Milène,Chauvin,10826458,CHAM03019074,"Été 2021","INF 9004","Informatique des entrepôts de données",B
Milène,Chauvin,10826458,CHAM03019074,"Été 2021","SCI 1016","Introduction à la science des données",B
Milène,Chauvin,10826458,CHAM03019074,"Été 2021","INF 1165","Réseaux et sécurité informatique",A
Milène,Chauvin,10826458,CHAM03019074,"Été 2021","INF 1427","Architecture des ordinateurs",A
Chang,Chung,56184538,CHUC23089024,"Été 2020","INF 2005","Programmation orientée objet avec C++",B
Chang,Chung,56184538,CHUC23089024,"Été 2020","INF 2007","Programmation avancée",C
Chang,Chung,56184538,CHUC23089024,"Été 2020","INF 2009","Projet de programmation web",A
Chang,Chung,56184538,CHUC23089024,"Été 2020","INF 6400","Gestion de connaissances en informatique",B
Tao,Hwang,19845376,HWAT27059124,"Hiver 2020","INF 6104","Recherche d'informations et web",C
Tao,Hwang,19845376,HWAT27059124,"Hiver 2020","INF 6408","Informatique de l'analyse multidimensionnelle",B
Tao,Hwang,19845376,HWAT27059124,"Hiver 2020","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",A
Tao,Hwang,19845376,HWAT27059124,"Hiver 2020","INF 6065","Sécurité des réseaux et des systèmes informatiques",B
Chakrit,Saetang,90243754,SAEC01069235,"Hiver 2021","INF 6104","Recherche d'informations et web",A
Chakrit,Saetang,90243754,SAEC01069235,"Hiver 2021","INF 6408","Informatique de l'analyse multidimensionnelle",A
Chakrit,Saetang,90243754,SAEC01069235,"Hiver 2021","ADM 6044","Gestion de projet en technologie de l'information",B
Chakrit,Saetang,90243754,SAEC01069235,"Hiver 2021","ADM 6046","Gestion de la sécurité des technologies de l'information",A
Anela,Bunma,60453827,BUNA12108755,"Hiver 2023","INF 1220","Introduction à la programmation",A
Anela,Bunma,60453827,BUNA12108755,"Hiver 2023","INF 1250","Introduction aux bases de données",B
Anela,Bunma,60453827,BUNA12108755,"Hiver 2023","INF 1410","Génie logiciel",B
Anela,Bunma,60453827,BUNA12108755,"Hiver 2023","INF 1420","Interfaces humain-machine",C
