e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_ProfilDeFormationÉtudiant,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours,e_NomDuProgramme,e_NuméroDuProgramme,e_ProfilDeFormationDuProgramme
Charlotte,Lavoie,39563852,LAVC26069203,"Informatique et technologies de l'information","Automne 2020","SCI 1016","Introduction à la science des données",A,"Certificat en science des données",4865,"Science des données"
Charlotte,Lavoie,39563852,LAVC26069203,"Informatique et technologies de l'information","Automne 2020","SCI 1018","Statistiques avec R",Abandon,"Certificat en science des données",4865,"Science des données"
Charlotte,Lavoie,39563852,LAVC26069203,"Informatique et technologies de l'information","Automne 2020","SCI 1402","Projet e science des données",A,"Certificat en science des données",4865,"Science des données"
Charlotte,Lavoie,39563852,LAVC26069203,"Informatique et technologies de l'information","Automne 2020","INF 1220","Introduction à la programmation",B,"Certificat en science des données",4865,"Science des données"
Isabella,Weber,37460596,WEBI18089283,"Informatique et technologies de l'information","Été 2020","SCI 1018","Statistiques avec R",B,"Certificat en science des données",4865,"Science des données"
Isabella,Weber,37460596,WEBI18089283,"Informatique et technologies de l'information","Été 2020","SCI 1402","Projet e science des données",C,"Certificat en science des données",4865,"Science des données"
Isabella,Weber,37460596,WEBI18089283,"Informatique et technologies de l'information","Été 2020","INF 1220","Introduction à la programmation",A,"Certificat en science des données",4865,"Science des données"
Isabella,Weber,37460596,WEBI18089283,"Informatique et technologies de l'information","Été 2020","INF 1250","Introduction aux bases de données",A,"Certificat en science des données",4865,"Science des données"
Félix,Ruiz,16354867,RUIF27039496,"Informatique et technologies de l'information","Hiver 2023","INF 6460","Recherche et filtrage d'informations",C,"Certificat en science des données",4865,"Science des données"
Félix,Ruiz,16354867,RUIF27039496,"Informatique et technologies de l'information","Hiver 2023","INF 9004","Informatique des entrepôts de données",A,"Certificat en science des données",4865,"Science des données"
