e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_ProfilDeFormationDuProgramme,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours
Marianne,Bergeron,46583568,BERM09029012,"Gouvernance des technologies de l'information","Été 2020","ADM 6030","Gestion des risques en affaires électroniques",B
Marianne,Bergeron,46583568,BERM09029012,"Gouvernance des technologies de l'information","Été 2020","ADM 6040","Gestion stratégique des technologies de l'information",A
Marianne,Bergeron,46583568,BERM09029012,"Gouvernance des technologies de l'information","Été 2020","ADM 6044","Gestion de projet en technologie de l'information",A
Marianne,Bergeron,46583568,BERM09029012,"Gouvernance des technologies de l'information","Été 2020","ADM 6046","Gestion de la sécurité des technologies de l'information",B
Mila,Bouchard,67154859,BOUM31018617,"Gouvernance des technologies de l'information","Été 2020","ADM 6046","Gestion de la sécurité des technologies de l'information",C
Mila,Bouchard,67154859,BOUM31018617,"Gouvernance des technologies de l'information","Été 2020","ADM 6010","Marketing en affaires électroniques",A
Mila,Bouchard,67154859,BOUM31018617,"Gouvernance des technologies de l'information","Été 2020","ADM 6020","Stratégies en affaires électroniques",B
Mila,Bouchard,67154859,BOUM31018617,"Gouvernance des technologies de l'information","Été 2020","ADM 6030","Gestion des risques en affaires électroniques",A
Benoît,Petit,17249043,PETB19129027,"Gouvernance des technologies de l'information","Hiver 2022","ADM 6044","Gestion de projet en technologie de l'information",B
Benoît,Petit,17249043,PETB19129027,"Gouvernance des technologies de l'information","Hiver 2022","ADM 6046","Gestion de la sécurité des technologies de l'information",A
Benoît,Petit,17249043,PETB19129027,"Gouvernance des technologies de l'information","Hiver 2022","ADM 6048","Impartition des technologies de l'information",B
Benoît,Petit,17249043,PETB19129027,"Gouvernance des technologies de l'information","Hiver 2022","ADM 6050","Analytique d'affaires",C
Edgard,Prevost,91645386,PREE17098738,"Gouvernance des technologies de l'information","Hiver 2020","ADM 6046","Gestion de la sécurité des technologies de l'information",A
Edgard,Prevost,91645386,PREE17098738,"Gouvernance des technologies de l'information","Hiver 2020","ADM 6010","Marketing en affaires électroniques",A
Edgard,Prevost,91645386,PREE17098738,"Gouvernance des technologies de l'information","Hiver 2020","ADM 6030","Gestion des risques en affaires électroniques",B
Edgard,Prevost,91645386,PREE17098738,"Gouvernance des technologies de l'information","Hiver 2020","ADM 6048","Impartition des technologies de l'information",C
Hector,Remy,53647597,REMH09039428,"Gouvernance des technologies de l'information","Automne 2022","ADM 6040","Gestion stratégique des technologies de l'information",B
Hector,Remy,53647597,REMH09039428,"Gouvernance des technologies de l'information","Automne 2022","ADM 6042","Les systèmes de l'information et la gestion organisationnelle",C
Hector,Remy,53647597,REMH09039428,"Gouvernance des technologies de l'information","Automne 2022","ADM 6044","Gestion de projet en technologie de l'information",A
Hector,Remy,53647597,REMH09039428,"Gouvernance des technologies de l'information","Automne 2022","ADM 6046","Gestion de la sécurité des technologies de l'information",C
Han,Zhu,19326037,ZHUH12078439,"Gouvernance des technologies de l'information","Hiver 2020","ADM 6028R","Lectures dirigées",A
Han,Zhu,19326037,ZHUH12078439,"Gouvernance des technologies de l'information","Hiver 2020","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",B
Han,Zhu,19326037,ZHUH12078439,"Gouvernance des technologies de l'information","Hiver 2020","ADM 6042","Les systèmes de l'information et la gestion organisationnelle",C
Han,Zhu,19326037,ZHUH12078439,"Gouvernance des technologies de l'information","Hiver 2020","ADM 6044","Gestion de projet en technologie de l'information",C
