e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_ProfilDeFormationÉtudiant,e_SessionÉtudes,e_NoteFinaleDuCours,e_NomDuProgramme,e_NuméroDuProgramme,e_ProfilDeFormationDuProgramme
Annie,Lafrance,50346858,LAFA22069115,"Informatique et technologies de l'information","Hiver 2020",C,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Annie,Lafrance,50346858,LAFA22069115,"Informatique et technologies de l'information","Hiver 2020",C,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Annie,Lafrance,50346858,LAFA22069115,"Informatique et technologies de l'information","Hiver 2020",A,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Annie,Lafrance,50346858,LAFA22069115,"Informatique et technologies de l'information","Hiver 2020",B,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Milène,Chauvin,10826458,CHAM03019074,"Informatique et technologies de l'information","Été 2021",B,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Milène,Chauvin,10826458,CHAM03019074,"Informatique et technologies de l'information","Été 2021",B,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Milène,Chauvin,10826458,CHAM03019074,"Informatique et technologies de l'information","Été 2021",A,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Milène,Chauvin,10826458,CHAM03019074,"Informatique et technologies de l'information","Été 2021",A,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Dalia,Chouraqui,46385869,CHOD12129066,"Informatique et technologies de l'information","Hiver 2021",B,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Dalia,Chouraqui,46385869,CHOD12129066,"Informatique et technologies de l'information","Hiver 2021",A,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Dalia,Chouraqui,46385869,CHOD12129066,"Informatique et technologies de l'information","Hiver 2021",A,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Dalia,Chouraqui,46385869,CHOD12129066,"Informatique et technologies de l'information","Hiver 2021",B,"Certificat en informatique appliquée",4128,"Informatique appliquée"
Eiliyah,Chibane,81658392,CHIE27129365,"Informatique et technologies de l'information","Automne 2021",B,"Certificat en informatique appliquée",4128,"Informatique appliquée"
