e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_ProfilDeFormationÉtudiant,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours,e_ProfilDeFormationDuProgramme
Beatrice,Gagné,21473659,GAGB20068403,Administration,"Hiver 2020","ADM 1002","Initiation à la gestion",A,"Inititation aux fondements de la gestion "
Beatrice,Gagné,21473659,GAGB20068403,Administration,"Hiver 2020","ADM 1450","Initiation à la gestion de projets",B,"Inititation aux fondements de la gestion "
Beatrice,Gagné,21473659,GAGB20068403,Administration,"Hiver 2020",ADM2006,"Les systèmes d'information de gestion",B,"Inititation aux fondements de la gestion "
Beatrice,Gagné,21473659,GAGB20068403,Administration,"Hiver 2020","ADM 2007","Introduction au marketing",A,"Inititation aux fondements de la gestion "
Isabella,Drouin,17453972,DROI17019309,Administration,"Automne 2020","ADM 3007","Initiatives de développement local et d'Administration (économie) sociale",C,"Développement économique local et communautaire"
Isabella,Drouin,17453972,DROI17019309,Administration,"Automne 2020","ADM 1404","Travail et société",A,"Développement économique local et communautaire"
Isabella,Drouin,17453972,DROI17019309,Administration,"Automne 2020","ADM 4015","Modèles internationaux de gestion des ressources humaines",B,"Développement économique local et communautaire"
Isabella,Drouin,17453972,DROI17019309,Administration,"Automne 2020","ECO 2011","Administration (économie) du Québec",A,"Développement économique local et communautaire"
Avery,Lefevre,68354903,LEFA12089027,Administration,"Été 2021","ADM 1002","Initiation à la gestion",B,"Administration de services"
Avery,Lefevre,68354903,LEFA12089027,Administration,"Été 2021","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",B,"Administration de services"
Avery,Lefevre,68354903,LEFA12089027,Administration,"Été 2021","SCO 1205","Initiation à la comptabilité financière",A,"Administration de services"
Avery,Lefevre,68354903,LEFA12089027,Administration,"Été 2021","ADM 1420","Gestion des opérations",B,"Administration de services"
Vincent,Allard,90174538,ALLV16129306,Administration,"Automne 2020","ADM 3011","Éthique et responsabilité sociale des entreprises",C,"Administration (management)"
Vincent,Allard,90174538,ALLV16129306,Administration,"Automne 2020","ECO 2400","Analyse macroéconomique",A,"Administration (management)"
Vincent,Allard,90174538,ALLV16129306,Administration,"Automne 2020","ADM 4007","Analyse stratégique de l'entreprise",B,"Administration (management)"
Vincent,Allard,90174538,ALLV16129306,Administration,"Automne 2020","ADM 1400","Théories de l'organisation",A,"Administration (management)"
Felix,Paradis,46501947,PARF18029203,Administration,"Été 2020","RIN 2015","Politiques et pratiques de gestion de la main-d'œuvre vieillissante",C,"Administration (cheminement général bilingue - français/anglais)"
Felix,Paradis,46501947,PARF18029203,Administration,"Été 2020","RIN 4120","Innovation, organisation du travail et gestion des ressources humaines",A,"Administration (cheminement général bilingue - français/anglais)"
Felix,Paradis,46501947,PARF18029203,Administration,"Été 2020","INF 1220","Introduction à la programmation",C,"Administration (cheminement général bilingue - français/anglais)"
Felix,Paradis,46501947,PARF18029203,Administration,"Été 2020","INF 1250","Introduction aux bases de données",B,"Administration (cheminement général bilingue - français/anglais)"
David,Masson,18453659,MASD27128737,Administration,"Été 2020","ADM 6202","Gestion de la créativité",A,"Gestion de projets créatifs"
David,Masson,18453659,MASD27128737,Administration,"Été 2020","ADM 6205","Gestion de projets et créativité",B,"Gestion de projets créatifs"
David,Masson,18453659,MASD27128737,Administration,"Été 2020","ADM 6216","Leadership et travail d'équipe",B,"Gestion de projets créatifs"
David,Masson,18453659,MASD27128737,Administration,"Été 2020","ADM 6218","Gestion des carrières créatives",C,"Gestion de projets créatifs"
