e_Prénom,e_Nom,e_NuméroÉtudiant,e_CodePermanent,e_SessionÉtudes,e_SigleDuCours,e_TitreDuCours,e_NoteFinaleDuCours
Benjamin,Caron,56197037,CARB31019317,"Hiver 2022","FRA 1002","Maîtrise du farnçais écrit",B
Benjamin,Caron,56197037,CARB31019317,"Hiver 2022","FRA 3005","Rédaction fondamentale",A
Benjamin,Caron,56197037,CARB31019317,"Hiver 2022","LIN 2003","Nouvelles pratiques du français",B
Benjamin,Caron,56197037,CARB31019317,"Hiver 2022","PHI 1010","L'organisation de la pensée",Abandon
Kayla,Lacombe,39570783,LAKA12018907,"Hiver 2022","ADM 3011","Éthique et responsabilité sociale des entreprises",A
Kayla,Lacombe,39570783,LAKA12018907,"Hiver 2022","COM 3000","Droits et enjeux de la communication",B
Kayla,Lacombe,39570783,LAKA12018907,"Hiver 2022","ADM 2006","Les systèmes d'information de gestion",B
Kayla,Lacombe,39570783,LAKA12018907,"Hiver 2022","COM 1021","Techniques d'animation et d'intervention",A
Hugo,Provencher,64058736,PROH22019409,"Hiver 2022","TED 6312","Ingénierie pédagogique et technologies éducatives",A
Hugo,Provencher,64058736,PROH22019409,"Hiver 2022","TED 6313","Projet d'ingénierie technopédagogique",B
Hugo,Provencher,64058736,PROH22019409,"Hiver 2022","TED 6210","Stratégies pédagogiques: une approche cognitive",C
Hugo,Provencher,64058736,PROH22019409,"Hiver 2022","TED 6350","Technologie de diffusion de la formation",B
Benoît,Petit,17249043,PETB19129027,"Hiver 2022","ADM 6044","Gestion de projet en technologie de l'information",B
Benoît,Petit,17249043,PETB19129027,"Hiver 2022","ADM 6046","Gestion de la sécurité des technologies de l'information",A
Benoît,Petit,17249043,PETB19129027,"Hiver 2022","ADM 6048","Impartition des technologies de l'information",B
Benoît,Petit,17249043,PETB19129027,"Hiver 2022","ADM 6050","Analytique d'affaires",C
Benjamin,Morin,18364859,MORB04028918,"Hiver 2022","ADM 3028","Len enjeux éthiques, légaux et sociétaux des TI",C
Benjamin,Morin,18364859,MORB04028918,"Hiver 2022","INF 6065","Sécurité des réseaux et des systèmes informatiques",A
